datetime,action,price,volume
2025-07-05 16:05:55,buy,413.9,9506.7472956
2025-07-05 16:15:55,sell,412.1,22.94613359
2025-07-05 16:30:56,buy,415.3,9435.32171827
2025-07-05 16:35:56,sell,413.3,22.7134009
2025-07-05 16:40:56,buy,412.8,9385.02743466
2025-07-05 16:45:57,sell,413.3,22.72367955
2025-07-05 16:55:57,buy,415.4,9387.0032586
2025-07-05 18:10:58,sell,425.0,22.58620548
2025-07-05 18:15:58,buy,425.4,9564.99272157
2025-07-05 18:20:59,sell,434.4,22.46817914
2025-07-05 19:11:00,buy,437.3,9753.05362779
2025-07-05 19:26:00,sell,430.2,22.30704142
2025-07-05 19:51:01,buy,430.1,9596.15259055
2025-07-05 19:56:01,sell,431.7,22.29510579
2025-07-05 20:16:02,buy,429.6,9613.30198593
2025-07-05 20:21:02,sell,429.6,22.3661437
2025-07-05 20:36:03,buy,425.2,9588.04501815
2025-07-05 20:41:03,sell,424.0,22.53821965
2025-07-05 20:41:03,buy,424.0,9551.42942651
2025-07-05 20:46:03,sell,423.3,22.48917246
2025-07-05 20:46:04,buy,423.3,9514.90925935
2025-07-05 20:51:04,sell,423.8,22.42960331
2025-07-05 21:06:04,buy,427.5,9502.33085766
2025-07-05 21:11:05,sell,430.1,22.19579269
2025-07-05 21:41:05,buy,414.3,9528.32878964
2025-07-05 21:46:05,sell,414.5,22.93729437
2025-07-05 21:56:06,buy,414.3,9495.87939929
2025-07-05 22:01:06,sell,412.2,22.9088377
2025-07-05 22:16:06,buy,413.8,9438.30376294
2025-07-05 22:21:07,sell,414.8,22.79744951
2025-07-05 22:51:07,buy,412.3,9435.70599357
2025-07-05 22:56:08,sell,415.0,22.87964129
2025-07-05 23:26:08,buy,409.2,9476.58504867
2025-07-05 23:31:09,sell,409.6,23.15854952
2025-07-05 23:41:09,buy,412.0,9474.05729299
2025-07-05 23:46:09,sell,412.7,22.95592791
2025-07-06 00:41:11,buy,407.0,9469.17686271
2025-07-06 00:46:11,sell,404.1,23.25415792
2025-07-06 01:06:12,buy,404.7,9389.98482792
2025-07-06 01:11:12,sell,404.5,23.19073347
2025-07-06 01:36:12,buy,408.1,9375.96371046
2025-07-06 02:41:14,sell,415.3,22.96318482
2025-07-06 02:41:14,buy,415.3,9506.59782442
2025-07-06 02:46:14,sell,415.5,22.8960109
2025-07-06 02:51:14,buy,415.8,9481.07678587
2025-07-06 02:56:15,sell,415.7,22.79061146
2025-07-06 03:11:15,buy,415.6,9451.09915509
2025-07-06 03:16:16,sell,415.4,22.72948413
2025-07-06 04:31:18,buy,412.2,9405.30379046
2025-07-06 04:36:18,sell,413.5,22.73422282
2025-07-06 04:46:18,buy,416.0,9395.90318933
2025-07-06 04:51:18,sell,416.1,22.55874426
2025-07-06 05:16:19,buy,414.3,9366.21926569
2025-07-06 05:21:19,sell,412.6,22.59603223
2025-07-06 05:41:20,buy,412.1,9320.7221548
2025-07-06 05:46:20,sell,412.8,22.6063135
2025-07-06 06:16:21,buy,407.7,9311.40609301
2025-07-06 06:21:21,sell,407.3,22.77716688
2025-07-06 06:41:22,buy,409.9,9272.50383083
2025-07-06 06:46:22,sell,409.8,22.61006972
2025-07-06 07:01:23,buy,409.0,9238.3773221
2025-07-06 07:06:23,sell,404.7,22.57642575
2025-07-06 07:11:23,buy,400.5,9129.85695881
2025-07-06 07:16:23,sell,402.6,22.76201554
2025-07-06 07:26:24,buy,395.4,9150.30749167
2025-07-06 07:31:24,sell,393.0,23.12448125
2025-07-06 07:31:24,buy,393.0,9067.2004185
2025-07-06 07:36:24,sell,391.5,23.06022091
2025-07-06 07:36:24,buy,391.5,9021.25984641
2025-07-06 07:41:25,sell,390.9,23.0312879
2025-07-06 07:41:25,buy,390.9,8996.12925661
2025-07-06 07:46:25,sell,391.5,23.00238217
2025-07-06 07:56:25,buy,396.0,9000.93215401
2025-07-06 08:01:26,sell,398.0,22.71826183
2025-07-06 08:06:26,buy,399.1,9037.34952772
2025-07-06 08:11:26,sell,398.1,22.63300138
2025-07-06 08:11:26,buy,398.1,8985.3354956
2025-07-06 08:16:26,sell,396.8,22.55926357
2025-07-06 08:31:27,buy,394.9,8938.02308008
2025-07-06 08:36:27,sell,395.0,22.60514693
2025-07-06 08:51:28,buy,393.6,8895.19875948
2025-07-06 08:56:28,sell,393.0,22.58829054
2025-07-06 09:01:28,buy,398.5,8870.50411085
2025-07-06 09:06:28,sell,383.2,22.22629445
2025-07-06 09:16:29,buy,394.6,8510.63817741
2025-07-06 09:21:29,sell,391.7,21.53514647
2025-07-06 09:26:29,buy,392.1,8420.33915474
2025-07-06 09:31:29,sell,394.4,21.44236684
2025-07-06 09:46:30,buy,391.8,8422.63884859
2025-07-06 11:26:31,sell,403.2,21.48654295
2025-07-06 11:41:32,buy,406.0,8633.27357778
2025-07-06 12:06:32,sell,401.5,21.21179189
2025-07-06 12:26:33,buy,402.7,8510.15821647
2025-07-06 12:31:33,sell,400.0,21.09598992
